ekatte,t_v_m,name,oblast,obstina,kmetstvo,kind,category,altitude,document,tsb,abc
15494,с.,Големо Бабино,VRC,VRC21,VRC21-05,3,7,3,1901,NW,1054
15504,с.,Големо Бучино,PER,PER32,PER32-05,3,6,7,1901,SW,1055
15518,с.,Големо Малово,SFO,SFO16,SFO16-05,3,7,7,1901,SW,1056
15535,с.,Големо село,KNL,KNL04,KNL04-06,3,6,6,1901,SW,1057
15552,с.,Голец,LOV,LOV36,LOV36-08,3,7,5,1901,NW,1058
15566,с.,Голеш,SLS,SLS15,SLS15-02,3,6,3,1901,N,1059
15572,с.,Голеш,SFO,SFO09,SFO09-00,3,8,7,1901,SW,1060
15583,с.,Голешово,BLG,BLG40,BLG40-00,3,8,7,1901,SW,1061
15597,с.,Голица,VAR,VAR13,VAR13-04,3,6,4,1901,NE,1062
15607,с.,Голобрад,KRZ,KRZ02,KRZ02-05,3,7,6,1901,S,1063
15610,с.,Голобрадово,HKV,HKV30,HKV30-06,3,8,4,1901,S,1064
15457,с.,Голям Върбовник,KNL,KNL04,KNL04-05,3,7,6,1901,SW,1065
15727,с.,Голям Девесил,KRZ,KRZ15,KRZ15-06,3,7,5,1901,S,1066
15730,с.,Голям Дервент,JAM,JAM07,JAM07-00,3,8,5,1901,SE,1067
15744,с.,Голям дол,SZR,SZR04,SZR04-00,3,8,4,1901,SE,1068
15758,с.,Голям извор,LOV,LOV33,LOV33-07,3,6,5,1901,NW,1069
15761,с.,Голям извор,RAZ,RAZ29,RAZ29-05,3,7,5,1901,N,1070
15775,с.,Голям извор,HKV,HKV30,HKV30-15,3,6,4,1901,S,1071
15789,с.,Голям манастир,JAM,JAM25,JAM25-08,3,7,4,1901,SE,1072
15953,с.,Голям Поровец,RAZ,RAZ14,RAZ14-04,3,6,4,1901,N,1073
15970,с.,Голям чардак,PDV,PDV33,PDV33-01,3,6,4,1901,S,1074
15641,с.,Голяма бара,KRZ,KRZ16,KRZ16-00,3,8,5,1901,S,1075
15655,с.,Голяма Брестница,LOV,LOV38,LOV38-03,3,7,5,1901,NW,1076
15669,с.,Голяма вода,RAZ,RAZ29,RAZ29-04,3,7,4,1901,N,1077
15698,с.,Голяма долина,HKV,HKV18,HKV18-00,3,8,4,1901,S,1078
15703,с.,Голяма Желязна,LOV,LOV34,LOV34-07,3,6,5,1901,NW,1079
15713,с.,Голяма Чинка,KRZ,KRZ15,KRZ15-05,3,7,5,1901,S,1080
15792,с.,Голямо Асеново,HKV,HKV09,HKV09-06,3,7,3,1901,S,1081
15802,с.,Голямо Белово,PAZ,PAZ04,PAZ04-02,3,6,5,1901,S,1082
15816,с.,Голямо Буково,BGS,BGS06,BGS06-00,3,8,3,1901,SE,1083
15829,с.,Голямо Враново,RSE,RSE33,RSE33-04,3,5,1,1901,N,1084
15833,с.,Голямо градище,TGV,TGV23,TGV23-01,3,5,5,1901,NE,1085
15850,с.,Голямо Доляне,TGV,TGV02,TGV02-00,3,8,5,1901,NE,1086
15864,с.,Голямо Дряново,SZR,SZR12,SZR12-02,3,7,5,1901,SE,1087
15878,с.,Голямо Каменяне,KRZ,KRZ15,KRZ15-07,3,7,5,1901,S,1088
15881,с.,Голямо Крушево,JAM,JAM03,JAM03-03,3,7,4,1901,SE,1089
15895,с.,Голямо ново,TGV,TGV35,TGV35-42,3,6,5,1901,NE,1090
15521,с.,Голямо Пещене,VRC,VRC10,VRC10-06,3,7,3,1901,NW,1091
15919,с.,Голямо Соколово,TGV,TGV35,TGV35-10,3,6,4,1901,NE,1092
15922,с.,Голямо църквище,TGV,TGV22,TGV22-43,3,7,5,1901,NE,1093
15936,с.,Голямо Чочовени,SLV,SLV20,SLV20-12,3,7,5,1901,SE,1094
15984,с.,Голяновци,SFO,SFO26,SFO26-04,3,6,6,1901,SW,1095
15998,с.,Гомотарци,VID,VID09,VID09-10,3,6,2,1901,NW,1096
16002,с.,Горан,LOV,LOV18,LOV18-07,3,7,3,1901,NW,1097
16016,с.,Горановци,VTR,VTR04,VTR04-00,3,8,6,1901,N,1098
16026,с.,Горановци,KNL,KNL29,KNL29-00,3,8,6,1901,SW,1099
16033,с.,Гореме,BLG,BLG49,BLG49-00,3,8,7,1901,SW,1100
16047,с.,Горен Еневец,VTR,VTR04,VTR04-00,3,8,5,1901,N,1101
